Game Name,Payout Amount,Display Name,Form Number,Manufacturer,Total Tickets,Deal Count,Total Deal Tickets,Total Payout,Ideal Profit,Ideal Percent,Card Type,URL,Active
Gator Dab,700,Gator Dab $700 (2),6222H,Arrow,1000,1,1000,700,300,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF,TRUE
Gotcha,140,Gotcha $140,783Q,Arrow,200,1,200,140,60,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C785Q.PDF,TRUE
Gotcha,280,Gotcha $280,784Q,Arrow,400,1,400,280,120,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C785Q.PDF,TRUE
Gotcha,425,Gotcha $425,785Q,Arrow,600,1,600,425,175,29,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C785Q.PDF,TRUE
Gum Drops,100,Gum Drops $100,6906V,Arrow,150,1,150,100,50,33,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Gum Drops,175,Gum Drops $175,6747U,Arrow,250,1,250,175,75,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Gum Drops,280,Gum Drops $280,6748U,Arrow,400,1,400,280,120,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Gum Drops,325,Gum Drops $325,6771V,Arrow,500,1,500,325,175,35,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Gum Drops,400,Gum Drops $400,6749U,Arrow,600,1,600,400,200,33,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Gum Drops,599,Gum Drops $599,6750U,Arrow,840,1,840,599,241,29,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Gum Drops,700,Gum Drops $700,6751U,Arrow,1000,1,1000,700,300,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Hiss & Make Up,350,Hiss & Make Up $350,,Arrow,550,1,550,350,200,36,Seal,,TRUE
Jack,280,Jack $280,,Arrow,400,1,400,280,120,30,Seal,,TRUE
